date,min_relative_humidity_v,max_relative_humidity_v,min_temperature_v,max_temperature_v,precipitation_v
2019-08-23,58.09,88.77,13.69,21.98,1.35
2019-08-22,57.87,88.63,13.78,22.11,1.23
2019-08-21,57.66,88.47,13.82,22.18,1.09
2019-08-20,57.4,88.46,13.89,22.31,1.03
2019-08-19,57.61,88.49,13.97,22.35,0.95
2019-08-18,57.77,88.45,14.03,22.43,0.86
2019-08-17,57.75,88.44,14.11,22.52,0.84
2019-08-16,57.82,88.52,14.23,22.62,0.86
2019-08-15,58.01,88.62,14.3,22.67,0.91
2019-08-14,58.07,88.63,14.33,22.71,0.88
2019-08-13,58.08,88.57,14.37,22.77,0.89
2019-08-12,58.06,88.38,14.42,22.84,0.83
2019-08-11,57.82,88.34,14.42,22.93,0.83
2019-08-10,57.56,88.18,14.47,23.01,0.84
2019-08-09,57.55,88.09,14.48,22.98,0.88
2019-08-08,57.44,88.02,14.46,22.95,0.89
2019-08-07,57.24,87.83,14.44,22.98,0.83
2019-08-06,56.89,87.6,14.45,23.02,0.8
2019-08-05,56.62,87.4,14.45,23.03,0.83
2019-08-04,56.34,87.29,14.46,23.07,0.89
2019-08-03,56.17,87.15,14.47,23.1,0.94
2019-08-02,56.04,87.04,14.47,23.1,0.94
2019-08-01,56.09,86.9,14.46,23.09,0.91
2019-07-31,56.03,86.78,14.47,23.12,0.89
2019-07-30,55.97,86.69,14.5,23.15,0.86
2019-07-29,55.87,86.66,14.52,23.19,0.77
2019-07-28,56.07,86.73,14.5,23.12,0.82
2019-07-27,56.12,86.63,14.51,23.08,0.83
2019-07-26,55.97,86.53,14.48,23.07,0.81
2019-07-25,55.93,86.49,14.48,23.07,0.76
2019-07-24,55.98,86.53,14.48,23.09,0.77
2019-07-23,56.15,86.57,14.47,23.02,0.82
2019-07-22,56.53,86.67,14.42,22.91,0.9
2019-07-21,56.8,86.66,14.38,22.83,0.87
2019-07-20,56.94,86.64,14.36,22.71,0.84
2019-07-19,56.95,86.68,14.33,22.67,0.83
2019-07-18,57.05,86.66,14.27,22.62,0.8
2019-07-17,56.8,86.56,14.25,22.6,0.82
2019-07-16,56.68,86.59,14.18,22.56,0.83
2019-07-15,56.76,86.56,14.11,22.49,0.93
2019-07-14,56.68,86.53,14,22.37,0.93
2019-07-13,56.5,86.52,13.91,22.32,0.91
2019-07-12,56.57,86.53,13.81,22.18,1
2019-07-11,56.55,86.48,13.71,22.06,1.03
2019-07-10,56.46,86.42,13.65,21.98,1.05
2019-07-09,56.27,86.36,13.56,21.9,1.19
2019-07-08,56.21,86.34,13.49,21.82,1.21
2019-07-07,55.93,86.32,13.46,21.83,1.16
2019-07-06,55.91,86.44,13.44,21.77,1.3
2019-07-05,55.91,86.54,13.37,21.73,1.38
2019-07-04,55.92,86.52,13.3,21.62,1.37
2019-07-03,55.87,86.47,13.24,21.53,1.39
2019-07-02,55.93,86.59,13.15,21.46,1.36
2019-07-01,55.84,86.6,13.1,21.37,1.47
2019-06-30,55.77,86.49,13.02,21.24,1.42
2019-06-29,55.64,86.43,12.96,21.18,1.43
2019-06-28,55.69,86.41,12.92,21.11,1.45
2019-06-27,55.63,86.43,12.82,21.06,1.41
2019-06-26,55.72,86.46,12.74,20.97,1.39
2019-06-25,55.74,86.62,12.66,20.85,1.48
2019-06-24,56.01,86.7,12.59,20.72,1.41
2019-06-23,56.1,86.8,12.47,20.62,1.45
2019-06-22,56.16,86.91,12.31,20.42,1.53
2019-06-21,56.24,86.86,12.16,20.23,1.43
2019-06-20,56.27,86.92,12.05,20.07,1.47
2019-06-19,56.32,86.98,11.94,19.94,1.56
2019-06-18,56.31,87.12,11.82,19.78,1.61
2019-06-17,56.46,87.11,11.73,19.57,1.69
2019-06-16,56.69,87.11,11.61,19.41,1.75
2019-06-15,56.79,87.3,11.54,19.32,1.86
2019-06-14,56.95,87.35,11.49,19.21,1.85
2019-06-13,56.93,87.39,11.42,19.1,1.91
2019-06-12,56.95,87.37,11.41,18.99,1.91
2019-06-11,57.08,87.43,11.4,18.91,1.98
2019-06-10,57.04,87.27,11.35,18.92,1.96
2019-06-09,56.99,87.33,11.32,18.86,1.99
2019-06-08,57.1,87.42,11.3,18.8,1.99
2019-06-07,57.34,87.47,11.29,18.79,2.06
2019-06-06,57.24,87.56,11.22,18.78,2.07
2019-06-05,57.27,87.57,11.15,18.72,2.01
2019-06-04,57.5,87.79,11.11,18.65,2.11
2019-06-03,57.65,87.78,11.11,18.61,2.23
2019-06-02,57.79,87.87,11.04,18.59,2.28
2019-06-01,57.65,87.81,11,18.59,2.15
2019-05-31,57.61,87.8,10.9,18.57,2.01
2019-05-30,57.76,87.87,10.78,18.49,2.04
2019-05-29,57.99,87.93,10.66,18.36,2.07
2019-05-28,58.03,88.05,10.53,18.25,2.09
2019-05-27,57.96,88.12,10.4,18.12,2.12
2019-05-26,58.01,88.23,10.3,17.98,2.08
2019-05-25,58.01,88.2,10.18,17.91,2.04
2019-05-24,57.93,88.07,10.06,17.82,2.05
2019-05-23,57.86,87.99,9.98,17.76,1.93
2019-05-22,57.8,87.97,9.92,17.72,2
2019-05-21,57.9,88.02,9.8,17.65,2.02
2019-05-20,57.62,87.81,9.67,17.56,1.9
2019-05-19,57.4,87.76,9.49,17.48,1.76
2019-05-18,57.2,87.79,9.37,17.37,1.78
2019-05-17,57.14,87.83,9.24,17.21,1.72
2019-05-16,57.01,87.82,9.11,17.04,1.73
2019-05-15,56.78,87.74,8.97,16.93,1.71
2019-05-14,56.67,87.75,8.87,16.82,1.66
2019-05-13,56.7,87.79,8.75,16.71,1.7
2019-05-12,56.81,87.92,8.63,16.64,1.67
2019-05-11,57.04,88.08,8.51,16.51,1.73
2019-05-10,57.18,88.24,8.37,16.34,1.76
2019-05-09,57.01,88.39,8.25,16.23,1.78
2019-05-08,56.81,88.37,8.11,16.08,1.79
2019-05-07,56.59,88.28,7.95,15.91,1.71
2019-05-06,56.39,88.13,7.83,15.77,1.73
2019-05-05,56.44,88.1,7.69,15.64,1.77
2019-05-04,56.7,88.28,7.66,15.49,1.84
2019-05-03,56.55,88.21,7.55,15.39,1.84
2019-05-02,56.7,88.25,7.47,15.27,1.97
2019-05-01,56.77,88.26,7.4,15.16,2.1
2019-04-30,57.01,88.39,7.3,15.02,2.31
2019-04-29,56.82,88.44,7.18,14.92,2.37
2019-04-28,56.66,88.45,7.09,14.86,2.3
2019-04-27,56.56,88.45,6.99,14.78,2.32
2019-04-26,56.58,88.5,6.87,14.65,2.41
2019-04-25,56.43,88.47,6.76,14.56,2.4
2019-04-24,56.63,88.55,6.66,14.45,2.44
2019-04-23,56.87,88.67,6.57,14.32,2.63
2019-04-22,57.34,88.89,6.48,14.18,2.69
2019-04-21,57.43,89.06,6.38,14.02,2.63
2019-04-20,57.7,89.23,6.34,13.84,2.75
2019-04-19,57.7,89.28,6.2,13.72,2.8
2019-04-18,57.76,89.23,6.1,13.6,2.72
2019-04-17,57.79,89.37,5.98,13.52,2.72
2019-04-16,57.88,89.49,5.89,13.41,2.65
2019-04-15,58.18,89.56,5.82,13.29,2.58
2019-04-14,58.75,89.74,5.75,13.17,2.75
2019-04-13,59.15,89.89,5.66,13.04,2.92
2019-04-12,59.54,89.95,5.55,12.83,3.08
2019-04-11,59.43,89.97,5.45,12.68,3.1
2019-04-10,59.6,90,5.34,12.53,3.22
2019-04-09,59.72,89.9,5.2,12.38,3.11
2019-04-08,60.1,90.04,5.07,12.2,3.08
2019-04-07,60.16,90.14,5,12.11,3.07
2019-04-06,60.4,90.23,4.94,12.1,3.19
2019-04-05,60.58,90.25,4.81,12.04,3.24
2019-04-04,60.68,90.19,4.69,11.93,3.19
2019-04-03,60.95,90.33,4.61,11.81,3.33
2019-04-02,61.04,90.26,4.52,11.68,3.43
2019-04-01,61,90.31,4.43,11.57,3.48
2019-03-31,60.61,90.13,4.31,11.49,3.42
2019-03-30,60.43,90.07,4.2,11.37,3.27
2019-03-29,60.4,90.11,4.1,11.26,3.32
2019-03-28,60.4,90.08,4.04,11.17,3.29
2019-03-27,60.64,90.08,3.98,11.14,3.31
2019-03-26,61.01,90.28,3.95,11.03,3.38
2019-03-25,61.28,90.44,3.93,10.92,3.58
2019-03-24,61.3,90.37,3.87,10.86,3.64
2019-03-23,61.53,90.39,3.8,10.73,3.66
2019-03-22,61.9,90.45,3.76,10.56,3.77
2019-03-21,61.93,90.52,3.8,10.51,3.75
2019-03-20,62.16,90.63,3.82,10.49,3.91
2019-03-19,62.53,90.72,3.76,10.43,3.89
2019-03-18,62.96,90.8,3.71,10.38,3.92
2019-03-17,63.44,90.95,3.71,10.33,4.02
2019-03-16,64.05,91.32,3.71,10.25,4.27
2019-03-15,64.44,91.45,3.65,10.13,4.4
2019-03-14,64.63,91.38,3.56,10,4.33
2019-03-13,64.55,91.22,3.44,9.95,4.22
2019-03-12,64.53,91.2,3.36,9.84,4.17
2019-03-11,64.48,91.07,3.27,9.76,4.02
2019-03-10,64.68,91.06,3.18,9.68,4.01
2019-03-09,64.6,91.18,3.12,9.62,3.98
2019-03-08,64.47,91.12,3.02,9.56,4.25
2019-03-07,64.14,91.07,2.88,9.48,4.14
2019-03-06,64.22,90.99,2.67,9.34,3.99
2019-03-05,64.46,91.04,2.44,9.12,3.84
2019-03-04,64.43,91.03,2.24,8.93,3.7
2019-03-03,64.23,90.97,2.08,8.75,3.62
2019-03-02,64.12,91.02,1.92,8.59,3.61
2019-03-01,64.09,91.06,1.79,8.49,3.49
2019-02-28,64.17,91.06,1.71,8.44,3.34
2019-02-27,64.24,91.08,1.69,8.41,3.3
2019-02-26,64.36,91.17,1.63,8.32,3.32
2019-02-25,64.48,91.2,1.56,8.25,3.47
2019-02-24,64.63,91.16,1.52,8.21,3.54
2019-02-23,64.44,91.22,1.49,8.18,3.58
2019-02-22,64.75,91.26,1.47,8.14,3.67
2019-02-21,65.31,91.38,1.45,8.09,3.53
2019-02-20,65.74,91.4,1.45,8.04,3.51
2019-02-19,65.72,91.48,1.52,8.08,3.6
2019-02-18,65.77,91.58,1.57,8.12,3.64
2019-02-17,66.06,91.84,1.61,8.16,3.65
2019-02-16,66.49,92.11,1.61,8.18,3.55
2019-02-15,66.9,92.19,1.64,8.15,3.55
2019-02-14,67.11,92.05,1.65,8.1,3.41
2019-02-13,67.1,92.08,1.68,8.07,3.52
2019-02-12,67.49,92.12,1.69,8.03,3.61
2019-02-11,68.03,92.31,1.71,8.03,3.78
2019-02-10,68.32,92.34,1.67,7.99,3.63
2019-02-09,68.37,92.35,1.66,7.95,3.53
2019-02-08,68.79,92.38,1.66,7.89,3.56
2019-02-07,68.9,92.44,1.64,7.83,3.49
2019-02-06,69.21,92.61,1.63,7.8,3.5
2019-02-05,69.82,92.77,1.66,7.75,3.98
2019-02-04,70.3,92.97,1.58,7.66,4.01
2019-02-03,70.85,93.07,1.6,7.57,4.12
2019-02-02,71.11,93.04,1.63,7.51,4.16
2019-02-01,71.17,93.02,1.7,7.5,4.1
2019-01-31,71.7,93.08,1.74,7.5,4.25
2019-01-30,72.28,93.33,1.77,7.48,4.51
2019-01-29,72.96,93.55,1.78,7.43,4.6
2019-01-28,73.44,93.85,1.8,7.39,4.65
2019-01-27,73.84,94.02,1.8,7.33,4.61
2019-01-26,74.22,94.21,1.85,7.33,4.74
2019-01-25,74.85,94.48,1.88,7.28,5.07
2019-01-24,75.4,94.67,1.89,7.25,5.27
2019-01-23,75.87,94.75,1.88,7.2,5.32
2019-01-22,75.85,94.74,1.81,7.16,5.19
2019-01-21,75.84,94.84,1.74,7.12,5.02
2019-01-20,76.17,94.88,1.73,7.07,5.08
2019-01-19,76.06,94.91,1.68,7.04,5.17
2019-01-18,76.05,94.91,1.6,6.98,5.4
2019-01-17,76.18,94.9,1.51,6.89,5.71
2019-01-16,76.19,94.9,1.48,6.86,5.78
2019-01-15,76.27,94.93,1.48,6.81,5.86
2019-01-14,76.14,94.88,1.43,6.79,5.89
2019-01-13,76.09,94.86,1.31,6.7,6.05
2019-01-12,75.81,94.7,1.21,6.62,6.08
2019-01-11,75.52,94.63,1.12,6.54,6.14
2019-01-10,75.15,94.55,0.98,6.47,5.9
2019-01-09,74.8,94.47,0.88,6.41,5.73
2019-01-08,74.58,94.45,0.81,6.35,5.75
2019-01-07,74.69,94.43,0.78,6.27,5.85
2019-01-06,74.73,94.39,0.73,6.21,5.67
2019-01-05,74.51,94.34,0.67,6.12,5.79
2019-01-04,74.63,94.33,0.6,6.07,5.72
2019-01-03,75.3,94.48,0.64,6.02,5.82
2019-01-02,75.65,94.59,0.64,5.97,5.69
2019-01-01,75.78,94.6,0.56,5.88,5.59
2018-12-31,75.79,94.59,0.48,5.85,5.49
2018-12-30,75.78,94.54,0.42,5.8,5.37
2018-12-29,75.79,94.52,0.43,5.8,5.13
2018-12-28,75.93,94.5,0.47,5.79,4.98
2018-12-27,76.08,94.32,0.52,5.79,4.92
2018-12-26,76.2,94.14,0.55,5.77,5.18
2018-12-25,76.14,94.18,0.59,5.77,5.1
2018-12-24,76.05,94.22,0.62,5.83,5.13
2018-12-23,75.94,94.27,0.68,5.9,5.21
2018-12-22,75.7,94.24,0.7,5.96,5.37
2018-12-21,75.59,94.26,0.77,6.03,5.22
2018-12-20,75.38,94.2,0.89,6.11,5.39
2018-12-19,74.85,94.12,0.91,6.23,5.48
2018-12-18,74.52,94.04,1.01,6.36,5.51
2018-12-17,74.47,93.97,1.13,6.47,5.6
2018-12-16,74.03,93.89,1.16,6.5,5.63
2018-12-15,73.65,93.76,1.22,6.58,5.76
2018-12-14,73.56,93.62,1.28,6.61,5.82
2018-12-13,73.6,93.61,1.32,6.67,5.88
2018-12-12,73.32,93.82,1.33,6.73,5.86
2018-12-11,72.96,94.05,1.38,6.85,5.71
2018-12-10,73.15,94.08,1.41,6.95,5.83
2018-12-09,73.29,94.12,1.46,6.97,5.83
2018-12-08,73.2,94.14,1.53,7.02,5.78
2018-12-07,73.54,94.24,1.62,7.08,5.72
2018-12-06,73.75,94.34,1.71,7.14,5.93
2018-12-05,73.88,94.44,1.74,7.2,5.97
2018-12-04,74.07,94.48,1.79,7.23,5.84
2018-12-03,74.13,94.55,1.74,7.25,5.88
2018-12-02,73.81,94.6,1.75,7.29,5.82
2018-12-01,73.76,94.51,1.81,7.39,5.77
2018-11-30,73.62,94.54,1.88,7.47,5.71
2018-11-29,73.34,94.39,1.95,7.57,5.82
2018-11-28,73.16,94.39,2,7.67,5.99
2018-11-27,73.34,94.35,2.11,7.77,5.95
2018-11-26,73.54,94.31,2.25,7.87,6.21
2018-11-25,73.49,94.32,2.39,7.94,6.2
2018-11-24,73.34,94.32,2.49,8.1,6.12
2018-11-23,73.32,94.28,2.63,8.24,6.25
2018-11-22,72.99,94.17,2.77,8.4,6.29
2018-11-21,72.84,93.99,2.87,8.54,6.03
2018-11-20,72.77,93.87,3.06,8.7,5.85
2018-11-19,72.61,93.71,3.23,8.85,5.95
2018-11-18,72.42,93.64,3.43,9.02,5.88
2018-11-17,72.53,93.64,3.56,9.17,5.93
2018-11-16,72.65,93.64,3.76,9.36,5.9
2018-11-15,72.86,93.73,3.98,9.55,5.78
2018-11-14,73.14,93.95,4.17,9.76,5.88
2018-11-13,73.06,94.07,4.34,9.93,6.06
2018-11-12,72.96,94.1,4.45,10.05,6.1
2018-11-11,72.94,94.11,4.52,10.16,5.79
2018-11-10,72.83,94.06,4.6,10.29,6.03
2018-11-09,72.6,93.93,4.66,10.36,6.19
2018-11-08,72.43,93.86,4.65,10.45,6.01
2018-11-07,72.12,93.82,4.7,10.53,6.02
2018-11-06,71.85,93.69,4.76,10.65,6.13
2018-11-05,71.27,93.71,4.76,10.78,6.13
2018-11-04,70.97,93.79,4.82,10.88,5.94
2018-11-03,70.84,93.78,4.87,10.99,5.73
2018-11-02,70.9,93.78,4.98,11.09,5.58
2018-11-01,70.84,93.82,5.07,11.17,5.56
2018-10-31,70.74,93.83,5.08,11.27,5.41
2018-10-30,70.67,93.86,5.18,11.39,5.3
2018-10-29,70.78,93.87,5.33,11.54,5.09
2018-10-28,71.06,93.89,5.5,11.69,5.05
2018-10-27,71.21,93.94,5.72,11.89,4.96
2018-10-26,71.54,93.99,5.95,12.07,4.6
2018-10-25,71.98,94.04,6.19,12.22,4.48
2018-10-24,72.12,94.02,6.45,12.38,4.81
2018-10-23,72.27,94.06,6.58,12.53,4.87
2018-10-22,72.44,94.22,6.72,12.67,4.81
2018-10-21,72.88,94.2,6.92,12.78,4.84
2018-10-20,73.05,94.19,7.07,12.93,4.83
2018-10-19,72.88,94.12,7.24,13.08,5.01
2018-10-18,72.35,93.93,7.31,13.23,4.89
2018-10-17,71.97,93.82,7.43,13.4,4.77
2018-10-16,71.78,93.79,7.57,13.57,4.81
2018-10-15,71.52,93.75,7.69,13.72,4.66
2018-10-14,71.18,93.65,7.81,13.89,4.39
2018-10-13,70.86,93.58,7.9,14.05,4.26
2018-10-12,70.45,93.45,7.95,14.19,4.05
2018-10-11,69.86,93.37,7.98,14.36,4
2018-10-10,69.44,93.33,8,14.53,3.86
2018-10-09,69.14,93.29,8.07,14.68,3.38
2018-10-08,68.77,93.25,8.19,14.89,3.01
2018-10-07,68.4,93.18,8.37,15.1,2.84
2018-10-06,68.08,93.17,8.5,15.32,2.75
2018-10-05,67.66,93.12,8.6,15.57,2.54
2018-10-04,67.6,93.17,8.76,15.8,2.3
2018-10-03,67.63,93.3,8.98,16.05,2.44
2018-10-02,67.51,93.3,9.12,16.27,2.4
2018-10-01,67.32,93.27,9.25,16.47,2.32
2018-09-30,67.11,93.16,9.35,16.69,2.23
2018-09-29,66.63,93.06,9.44,16.9,2.24
2018-09-28,66.2,93.01,9.55,17.1,2.15
2018-09-27,66.25,93.06,9.7,17.25,2.21
2018-09-26,66.16,93,9.91,17.41,2.28
2018-09-25,65.92,92.94,10.11,17.6,2.47
2018-09-24,65.69,92.94,10.27,17.79,2.46
2018-09-23,65.55,92.81,10.42,17.93,2.59
2018-09-22,65.34,92.71,10.54,18.11,2.53
2018-09-21,65.06,92.65,10.66,18.28,2.37
2018-09-20,64.82,92.51,10.78,18.41,2.27
2018-09-19,64.47,92.3,10.88,18.57,2.27
2018-09-18,63.92,92.12,10.97,18.75,2.02
2018-09-17,63.67,91.96,11.05,18.88,2.02
2018-09-16,63.33,91.81,11.18,19,2.03
2018-09-15,63.03,91.75,11.31,19.12,2.01
2018-09-14,63.03,91.74,11.45,19.21,1.99
2018-09-13,62.77,91.58,11.58,19.36,1.98
2018-09-12,62.21,91.42,11.68,19.53,1.91
2018-09-11,61.85,91.18,11.74,19.7,1.66
2018-09-10,61.43,91.04,11.82,19.88,1.39
2018-09-09,60.94,90.82,11.86,20.05,1.33
2018-09-08,60.56,90.68,11.94,20.19,1.11
2018-09-07,60.45,90.6,12.01,20.26,1.23
2018-09-06,60.24,90.46,12.13,20.36,1.33
2018-09-05,60.1,90.4,12.3,20.5,1.49
2018-09-04,60.07,90.33,12.43,20.61,1.52
2018-09-03,59.8,90.1,12.55,20.74,1.6
2018-09-02,59.43,90.03,12.66,20.88,1.59
2018-09-01,59.23,89.85,12.74,21.02,1.53
2018-08-31,58.9,89.64,12.78,21.11,1.5
2018-08-30,58.59,89.36,12.86,21.22,1.43
2018-08-29,58.4,89.22,12.96,21.32,1.46
2018-08-28,58.41,89.12,13.08,21.4,1.57
2018-08-27,58.06,89.08,13.2,21.53,1.63
2018-08-26,58.05,88.92,13.34,21.61,1.55
2018-08-25,58.27,88.97,13.47,21.69,1.5
2018-08-24,58.24,88.94,13.59,21.84,1.51
2018-08-23,57.93,88.76,13.71,22,1.37
2018-08-22,57.74,88.62,13.79,22.12,1.27
2018-08-21,57.56,88.45,13.83,22.19,1.13
2018-08-20,57.27,88.39,13.9,22.3,1.07
2018-08-19,57.45,88.42,13.97,22.34,0.99
2018-08-18,57.63,88.37,14.02,22.4,0.89
2018-08-17,57.71,88.36,14.1,22.47,0.89
2018-08-16,57.83,88.45,14.21,22.54,0.91
2018-08-15,58.05,88.56,14.28,22.57,0.96
2018-08-14,58.11,88.59,14.3,22.6,0.93
2018-08-13,58.08,88.5,14.34,22.66,0.93
2018-08-12,58.11,88.36,14.39,22.73,0.88
2018-08-11,57.86,88.34,14.39,22.83,0.88
2018-08-10,57.62,88.19,14.44,22.91,0.89
2018-08-09,57.63,88.09,14.45,22.87,0.93
2018-08-08,57.5,88,14.42,22.86,0.89
2018-08-07,57.25,87.8,14.4,22.9,0.81
2018-08-06,56.95,87.59,14.4,22.94,0.78
2018-08-05,56.74,87.41,14.39,22.93,0.81
2018-08-04,56.44,87.29,14.4,22.97,0.88
2018-08-03,56.22,87.14,14.42,22.99,0.94
2018-08-02,56.02,87.03,14.42,23.02,0.94
2018-08-01,55.98,86.86,14.41,23.03,0.91
2018-07-31,55.89,86.71,14.43,23.07,0.89
2018-07-30,55.82,86.6,14.47,23.1,0.86
2018-07-29,55.68,86.59,14.5,23.15,0.77
2018-07-28,55.83,86.66,14.48,23.1,0.82
2018-07-27,55.9,86.55,14.49,23.07,0.83
2018-07-26,55.74,86.46,14.47,23.07,0.81
2018-07-25,55.7,86.42,14.47,23.07,0.76
2018-07-24,55.8,86.45,14.46,23.07,0.77
2018-07-23,55.98,86.5,14.45,23,0.82
2018-07-22,56.32,86.59,14.41,22.89,0.9
2018-07-21,56.54,86.59,14.36,22.81,0.87
2018-07-20,56.72,86.61,14.33,22.69,0.84
2018-07-19,56.8,86.67,14.3,22.64,0.84
2018-07-18,56.91,86.66,14.24,22.58,0.82
2018-07-17,56.71,86.57,14.22,22.55,0.84
2018-07-16,56.56,86.58,14.14,22.51,0.85
2018-07-15,56.64,86.57,14.07,22.45,0.95
2018-07-14,56.6,86.54,13.96,22.33,0.94
2018-07-13,56.43,86.54,13.85,22.27,0.93
2018-07-12,56.54,86.58,13.73,22.09,1.04
2018-07-11,56.54,86.5,13.62,21.95,1.06
2018-07-10,56.42,86.45,13.57,21.87,1.09
2018-07-09,56.18,86.45,13.49,21.8,1.23
2018-07-08,56.14,86.44,13.43,21.72,1.25
2018-07-07,55.84,86.43,13.4,21.74,1.2
2018-07-06,55.78,86.53,13.38,21.7,1.33
2018-07-05,55.79,86.62,13.31,21.66,1.41
2018-07-04,55.72,86.57,13.24,21.56,1.39
2018-07-03,55.68,86.52,13.19,21.49,1.4
2018-07-02,55.72,86.64,13.1,21.44,1.36
2018-07-01,55.67,86.67,13.04,21.33,1.46
2018-06-30,55.61,86.53,12.95,21.2,1.4
2018-06-29,55.48,86.49,12.91,21.14,1.43
2018-06-28,55.5,86.46,12.87,21.08,1.44
2018-06-27,55.44,86.46,12.78,21.04,1.38
2018-06-26,55.54,86.52,12.7,20.95,1.37
2018-06-25,55.57,86.69,12.6,20.82,1.46
2018-06-24,55.88,86.73,12.53,20.67,1.39
2018-06-23,55.93,86.82,12.41,20.57,1.43
2018-06-22,56.02,86.95,12.26,20.39,1.51
2018-06-21,56.15,86.92,12.11,20.2,1.41
2018-06-20,56.16,86.94,12.02,20.05,1.44
2018-06-19,56.23,87.02,11.91,19.93,1.52
2018-06-18,56.24,87.18,11.78,19.76,1.57
2018-06-17,56.42,87.2,11.7,19.54,1.69
2018-06-16,56.65,87.22,11.59,19.39,1.77
2018-06-15,56.69,87.39,11.53,19.32,1.85
2018-06-14,56.85,87.42,11.47,19.2,1.84
2018-06-13,56.89,87.48,11.41,19.08,1.91
2018-06-12,56.91,87.49,11.39,18.98,1.91
2018-06-11,57.04,87.53,11.4,18.91,1.98
2018-06-10,56.98,87.37,11.34,18.93,1.95
2018-06-09,56.91,87.43,11.3,18.88,1.99
2018-06-08,57.06,87.54,11.28,18.82,2.01
2018-06-07,57.32,87.61,11.26,18.78,2.09
2018-06-06,57.22,87.71,11.18,18.76,2.09
